# FRONT	BACK
What is Hamming Code?	In telecommunication, Hamming codes are a family of linear error-correcting codes that generalize the Hamming(7,4)-code, and were invented by Richard Hamming in 1950. Hamming codes can detect up to two-bit errors or correct one-bit errors without detection of uncorrected errors.
What is the square root of 256?	16
2^16	65,536
Using bitwise operations, how would you test that a number is a power of 2?	bool isPowerOfTwo = (x & (x - 1);
What does ELF stand for?	"Executable and Linkable Format.
It's a common standard file format for executables, object code, shared libraries, and core dumps."
example of a latency device	CPU core
example of a throughput device	GPU core
What is the Hamming Distance?	A number used to denote the number of differences between two binary strings of the same length.
What are the 5 steps of the compiling process?	"Lexical Analysis
Parsing
Semantic Analysis
Optimization
Code Generation"
What is parsing?	Combining tokens and groups of tokens into a tree structure (a parse tree).
What is lexical analysis?	The process of dividing program text into words or tokens.
What is code generation?	Producing a translation from a high-level program to assembly code. (Linker and Archiver taker over from here to produce machine code)
4 * 16	64
2 ^ 4	16
2^3	8
2^5	32
2^6	64
2^7	128
2^8	256
2^9	512
2^10	1024
2^11	2048
2^12	4096
2^13	8192
2^14	16,384
2^15	32,768
2^32	4.294 Billion
size of char in bits	8 bits
size of char in bytes	1 byte
size of bool in bits	8 bits
size of short in bits	16 bits (at least), and 16 commonly
size of short in bytes	2 bytes, and 2 bytes commonly
size of int in bits	32 bits commonly, at least 16 bits
size of int in bytes	4 bytes commonly, at least 2 bytes
size of long in bits	32 (at least, 32 commonly), 64 on LP64
size of long in bytes	4 bytes, (at least 4, and commonly 4), 8 on LP64
size of long long in bits	64 bits
size of long long in bytes	8 bytes
size of float in bits	32 bits
size of float in bytes	4 bytes
size of double in bits	64 bits
size of double in bytes	8 bytes
size of wchar_t in bits	16 bits
size of wchar_t in bytes	2 bytes
How many levels in a complete binary tree of size n?	floor(1 + log(base2)(n))
How can build heap be done in linear time?	"A tree of size n nodes, will have floor(n/2^h) nodes with height >= h.
The last half of nodes will be leaves, so they already satisfy the heap property. No work needs to be done on them.
going bottom-up (ignoring the last n/2 items) and satisfying the heap property one level at a time, each level going up the tree has to do at most 1 operation more than the level below it. But as you go up the tree, higher levels have fewer nodes, so you may be doing more operations, but it happens on fewer number of times.
This resembles a series:

n/2 - height 1: 1 operations
n/4 - height 2: 2 operation
n/8 - height 3: 3 operations
...
going to floor(n/2^h) - height h: h operations

n * (1/2 + 2/4 + 3/8 + 4/16 ....) = n * 1 = n"
How are queues usually implemented?	Using a Circular Array or Singly Linked List.
How is a deque usually implemented?	Using a Circular Array or Doubly Linked List.
How would you swap 2 integers using only bitwise operations?	"a ^= b
b ^= a
a ^= b"
How would you turn ON the 3rd bit from the end in a bitstring?	x |= (1 << 2)
How would you turn OFF the 3rd bit from the end in a bitstring?	x &= ~(1 << 2);
What is a Binary Search Tree?	A binary tree is a data structure where each node has a comparable key and satisfies the restriction that the key in any node is larger than the keys in all nodes in that node's left subtree and smaller than the keys in all nodes in that node's right subtree.
What is an AVL tree?	A BST where the height of every node and that of its sibling differ by at most 1.
What is a red-black tree?	"BSTs having red and black links satisfying:
- Red links lean left
- No node has two links connected to it
- The tree has perfect black balance: every path from the root to a null link has the same number of blacks"
What is a splay tree?	A self-adjusting binary search tree where recently accessed elements are moved to the root so they are quick to access again.
What is a treap?	"A random priority is assigned to every key and must maintain two properties:
-They are in order with respect to their keys, as in a typical binary search tree
-They are in heap order with respect to their priorities, that is, no key has a key of lower priority as an ancestor
O(log N) expected time for all operations, O(N) worst case."
